,TF,Target,Label
0,0,659,1
1,0,1164,1
2,0,133,1
3,0,1106,1
4,0,1111,1
5,0,1019,1
6,0,182,1
7,0,1124,1
8,0,86,1
9,0,619,1
10,0,904,1
11,0,712,1
12,0,22,1
13,0,1096,1
14,0,758,1
15,0,50,1
16,0,123,1
17,0,812,1
18,0,302,1
19,0,1259,1
20,0,1312,1
21,0,567,1
22,0,483,1
23,0,484,1
24,0,972,1
25,0,71,1
26,0,1093,1
27,0,224,1
28,0,264,1
29,0,542,1
30,0,1301,1
31,0,795,1
32,0,1194,1
33,0,559,1
34,0,599,1
35,0,280,1
36,0,823,1
37,0,1152,1
38,0,587,1
39,0,35,1
40,0,853,1
41,0,1112,1
42,0,226,1
43,0,478,1
44,0,1243,1
45,0,278,1
46,0,873,1
47,0,125,1
48,0,191,1
49,0,239,1
50,0,1071,1
51,0,1296,1
52,0,1115,1
53,0,568,1
54,0,910,1
55,0,87,1
56,0,192,1
57,0,154,1
58,0,836,1
59,0,52,1
60,0,945,1
61,0,499,1
62,0,622,1
63,0,98,1
64,0,1283,1
65,0,469,1
66,0,250,1
67,0,990,1
68,0,138,1
69,0,1251,1
70,0,1277,1
71,0,747,1
72,0,657,1
73,0,286,1
74,0,190,1
75,0,639,1
76,0,444,1
77,0,464,1
78,0,1119,1
79,0,676,1
80,0,146,1
81,0,202,1
82,0,1128,1
83,0,565,1
84,0,1246,1
85,0,831,1
86,0,916,1
87,0,780,1
88,0,7,1
89,165,1043,1
90,165,1248,1
91,213,892,1
92,213,847,1
93,278,190,1
94,278,1283,1
95,278,870,1
96,278,1205,1
97,278,185,1
98,278,208,1
99,278,1136,1
100,278,1125,1
101,278,1110,1
102,278,1284,1
103,278,713,1
104,278,1005,1
105,278,668,1
106,278,154,1
107,278,1236,1
108,278,74,1
109,278,444,1
110,278,761,1
111,278,727,1
112,278,362,1
113,278,106,1
114,278,161,1
115,278,1249,1
116,278,956,1
117,278,454,1
118,278,1021,1
119,278,1243,1
120,278,895,1
121,278,854,1
122,278,408,1
123,278,140,1
124,278,368,1
125,278,516,1
126,278,576,1
127,278,1116,1
128,278,619,1
129,278,904,1
130,278,501,1
131,278,399,1
132,278,369,1
133,278,1089,1
134,278,646,1
135,278,264,1
136,278,925,1
137,278,340,1
138,278,199,1
139,278,1104,1
140,278,919,1
141,278,302,1
142,278,836,1
143,278,505,1
144,278,446,1
145,278,112,1
146,278,599,1
147,278,1153,1
148,278,800,1
149,278,980,1
150,278,1298,1
151,278,9,1
152,278,451,1
153,278,891,1
154,278,538,1
155,278,1082,1
156,278,57,1
157,278,141,1
158,278,867,1
159,278,831,1
160,278,147,1
161,332,31,1
162,332,1226,1
163,332,926,1
164,332,1222,1
165,332,1228,1
166,332,684,1
167,332,508,1
168,332,1127,1
169,332,535,1
170,332,846,1
171,332,15,1
172,332,1036,1
173,332,585,1
174,332,9,1
175,332,722,1
176,332,931,1
177,332,67,1
178,332,183,1
179,332,719,1
180,332,452,1
181,332,1242,1
182,332,352,1
183,332,2,1
184,332,773,1
185,332,599,1
186,332,767,1
187,332,937,1
188,332,1239,1
189,332,619,1
190,332,714,1
191,332,603,1
192,332,869,1
193,332,398,1
194,332,636,1
195,332,208,1
196,332,1152,1
197,332,62,1
198,332,973,1
199,332,1030,1
200,332,1033,1
201,332,844,1
202,332,1043,1
203,332,1122,1
204,332,4,1
205,332,971,1
206,332,717,1
207,332,621,1
208,332,66,1
209,332,179,1
210,332,870,1
211,332,1115,1
212,332,761,1
213,332,19,1
214,332,730,1
215,332,580,1
216,332,1135,1
217,332,181,1
218,332,43,1
219,332,1020,1
220,332,843,1
221,332,188,1
222,332,1282,1
223,332,611,1
224,332,553,1
225,332,918,1
226,332,808,1
227,332,1294,1
228,332,933,1
229,332,359,1
230,332,665,1
231,332,894,1
232,332,1054,1
233,332,317,1
234,332,213,1
235,332,890,1
236,332,873,1
237,332,907,1
238,332,155,1
239,332,794,1
240,332,1249,1
241,332,1010,1
242,332,1082,1
243,332,533,1
244,332,1056,1
245,332,691,1
246,332,1111,1
247,332,815,1
248,332,766,1
249,332,171,1
250,332,479,1
251,332,549,1
252,332,681,1
253,332,480,1
254,332,795,1
255,332,1299,1
256,332,797,1
257,332,127,1
258,332,850,1
259,332,672,1
260,332,1108,1
261,332,898,1
262,332,276,1
263,332,0,1
264,332,246,1
265,332,1261,1
266,332,768,1
267,332,1015,1
268,332,227,1
269,332,1104,1
270,332,1074,1
271,332,1307,1
272,332,945,1
273,332,1225,1
274,332,1279,1
275,332,1285,1
276,332,1062,1
277,332,35,1
278,332,444,1
279,332,253,1
280,332,1163,1
281,332,182,1
282,332,498,1
283,332,1058,1
284,332,262,1
285,332,164,1
286,332,126,1
287,332,254,1
288,332,197,1
289,332,365,1
290,469,1089,1
291,469,239,1
292,469,780,1
293,469,1111,1
294,469,980,1
295,469,574,1
296,469,50,1
297,469,674,1
298,469,1242,1
299,469,1125,1
300,469,27,1
301,469,1208,1
302,469,171,1
303,469,7,1
304,469,890,1
305,469,656,1
306,469,253,1
307,469,904,1
308,469,761,1
309,469,1015,1
310,469,1264,1
311,469,1234,1
312,469,359,1
313,469,909,1
314,469,1033,1
315,469,1205,1
316,469,99,1
317,469,895,1
318,469,505,1
319,469,650,1
320,469,564,1
321,469,575,1
322,469,720,1
323,469,621,1
324,469,525,1
325,469,371,1
326,469,4,1
327,469,879,1
328,469,314,1
329,469,788,1
330,470,747,1
331,470,116,1
332,470,973,1
333,470,1051,1
334,470,281,1
335,470,779,1
336,470,13,1
337,470,1015,1
338,470,478,1
339,470,766,1
340,470,262,1
341,470,587,1
342,470,1315,1
343,470,1220,1
344,470,686,1
345,470,1218,1
346,470,495,1
347,470,121,1
348,470,1285,1
349,470,166,1
350,470,1089,1
351,470,1257,1
352,470,389,1
353,470,232,1
354,470,315,1
355,470,493,1
356,470,374,1
357,470,1085,1
358,470,540,1
359,470,897,1
360,470,1298,1
361,498,387,1
362,498,320,1
363,498,438,1
364,498,538,1
365,498,27,1
366,498,611,1
367,498,1114,1
368,677,1185,1
369,677,57,1
370,677,1,1
371,677,909,1
372,677,1208,1
373,677,780,1
374,677,1168,1
375,677,638,1
376,677,38,1
377,677,1294,1
378,677,97,1
379,677,826,1
380,677,515,1
381,677,283,1
382,677,85,1
383,677,377,1
384,677,126,1
385,677,599,1
386,677,1248,1
387,677,508,1
388,677,674,1
389,677,871,1
390,677,846,1
391,677,919,1
392,677,1220,1
393,677,1030,1
394,677,597,1
395,677,339,1
396,677,359,1
397,677,1291,1
398,677,1010,1
399,677,62,1
400,677,181,1
401,677,1189,1
402,677,883,1
403,677,656,1
404,677,555,1
405,677,336,1
406,677,92,1
407,677,299,1
408,677,691,1
409,677,935,1
410,677,904,1
411,677,1264,1
412,677,954,1
413,677,365,1
414,677,636,1
415,677,1249,1
416,677,593,1
417,677,870,1
418,677,52,1
419,677,933,1
420,677,633,1
421,677,664,1
422,677,873,1
423,677,1239,1
424,677,1054,1
425,677,712,1
426,677,820,1
427,677,1135,1
428,677,907,1
429,710,1093,1
430,710,1291,1
431,710,1277,1
432,748,320,1
433,766,907,1
434,766,571,1
435,766,1213,1
436,766,56,1
437,766,342,1
438,766,282,1
439,766,1010,1
440,766,940,1
441,801,1201,1
442,801,1293,1
443,801,320,1
444,801,316,1
445,801,101,1
446,801,484,1
447,801,452,1
448,801,436,1
449,801,1000,1
450,801,1114,1
451,801,754,1
452,801,216,1
453,801,191,1
454,801,1016,1
455,801,605,1
456,801,334,1
457,801,98,1
458,801,153,1
459,801,874,1
460,801,847,1
461,801,1060,1
462,801,1200,1
463,801,54,1
464,801,214,1
465,801,1187,1
466,801,271,1
467,801,415,1
468,801,1316,1
469,801,968,1
470,801,1062,1
471,801,1243,1
472,801,1229,1
473,801,213,1
474,801,722,1
475,801,627,1
476,801,496,1
477,801,1159,1
478,801,812,1
479,801,221,1
480,801,34,1
481,801,517,1
482,801,70,1
483,801,528,1
484,801,927,1
485,801,79,1
486,801,733,1
487,801,30,1
488,801,163,1
489,801,64,1
490,801,771,1
491,801,209,1
492,801,1015,1
493,801,928,1
494,801,868,1
