,TF,Target,Label
0,14,396,1
1,14,49,1
2,14,219,1
3,14,554,1
4,14,507,1
5,14,286,1
6,14,10,1
7,14,91,1
8,14,532,1
9,14,69,1
10,14,57,1
11,14,483,1
12,14,488,1
13,14,127,1
14,14,154,1
15,14,270,1
16,14,203,1
17,14,379,1
18,14,496,1
19,14,300,1
20,14,128,1
21,14,77,1
22,14,194,1
23,14,376,1
24,14,95,1
25,14,391,1
26,14,3,1
27,14,411,1
28,14,145,1
29,14,522,1
30,14,504,1
31,14,345,1
32,14,76,1
33,14,223,1
34,14,432,1
35,14,35,1
36,14,556,1
37,14,167,1
38,14,410,1
39,14,315,1
40,14,369,1
41,14,353,1
42,14,108,1
43,14,475,1
44,14,200,1
45,14,175,1
46,14,451,1
47,14,550,1
48,14,6,1
49,14,21,1
50,14,456,1
51,14,357,1
52,14,328,1
53,14,84,1
54,14,117,1
55,14,512,1
56,14,114,1
57,14,213,1
58,14,443,1
59,14,453,1
60,14,389,1
61,14,489,1
62,14,305,1
63,14,86,1
64,14,221,1
65,14,165,1
66,14,138,1
67,14,463,1
68,14,71,1
69,14,2,1
70,14,192,1
71,14,462,1
72,14,444,1
73,14,344,1
74,14,26,1
75,14,470,1
76,14,347,1
77,14,500,1
78,14,485,1
79,14,256,1
80,14,464,1
81,14,233,1
82,14,202,1
83,14,189,1
84,14,34,1
85,14,42,1
86,14,158,1
87,14,275,1
88,14,217,1
89,14,144,1
90,14,265,1
91,14,317,1
92,14,491,1
93,14,280,1
94,14,211,1
95,14,12,1
96,14,336,1
97,14,116,1
98,14,337,1
99,14,238,1
100,14,417,1
101,14,516,1
102,14,227,1
103,14,166,1
104,14,248,1
105,14,402,1
106,14,247,1
107,14,318,1
108,14,506,1
109,14,392,1
110,14,274,1
111,14,93,1
112,14,408,1
113,14,65,1
114,14,136,1
115,14,526,1
116,14,99,1
117,14,239,1
118,14,363,1
119,14,8,1
120,14,457,1
121,14,388,1
122,14,342,1
123,14,123,1
124,14,7,1
125,14,130,1
126,14,229,1
127,14,340,1
128,14,272,1
129,14,283,1
130,14,60,1
131,14,468,1
132,14,482,1
133,14,445,1
134,14,234,1
135,14,511,1
136,14,513,1
137,14,174,1
138,14,549,1
139,14,343,1
